name,description,animal_ids,category_ids,address,longitude,latitude,tel_number,opening_hours,web_site,prefecture_id,id,suggest
ANELLA CAFE (保護犬猫シェルター＆ふれあいカフェ)新宿店,保護猫、保護犬とふれあえるカフェです。審査の上、里親になることもできます。,"1,2","4,5",東京都新宿区市谷柳町10-4,139.7262005,35.698968,03-6770-6595,月曜日: 11時00分～18時00分. 火曜日: 11時00分～18時00分. 水曜日: 11時00分～18時00分. 木曜日: 11時00分～18時00分. 金曜日: 11時00分～18時00分. 土曜日: 11時00分～18時00分. 日曜日: 11時00分～18時00分,https://instagram.com/dogrescue_anella?igshid=1n2z27i3o2deh,13,11,recommend
BAKENEKO CAFE 化猫茶屋,動物の殺処分問題をなくしていこうと取り組み、保護猫活動などを行っている保護猫カフェです。,2,4,東京都新宿区大久保３丁目１３−１ 1 棟106号,139.7078031,35.7083465,03-5656-1575,月曜日: 11時00分～20時00分. 火曜日: 定休日. 水曜日: 定休日. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://bakeneko-cafe.tokyo/,13,12,
猫カフェモカラウンジ 新宿店,おしゃれな店内の猫カフェです,2,4,東京都新宿区新宿３丁目３１−５ 新宿ペガサス館 6 階,139.7036888,35.690681,03-6709-8863,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/shinjuku/,13,13,recommend
爬虫類カフェ らぷとる,たくさんの種類の爬虫類がいます。個体や状況によってですがふれあうことができるようです,"18,19,20",9,東京都新宿区歌舞伎町２丁目１７−１０ 新宿小沼ビル 202,139.7054774,35.6980002,070-1507-3367,月曜日: 14時00分～21時00分. 火曜日: 14時00分～21時00分. 水曜日: 14時00分～21時00分. 木曜日: 定休日. 金曜日: 14時00分～21時00分. 土曜日: 14時00分～21時00分. 日曜日: 14時00分～21時00分,https://reptiles-cafe.com/,13,14,
cat cafe にゃんこと,新宿にある猫カフェです,2,4,東京都新宿区高田馬場２丁目１４−６,139.706532,35.712725,03-6233-9662,月曜日: 12時00分～21時00分. 火曜日: 12時00分～21時00分. 水曜日: 12時00分～21時00分. 木曜日: 12時00分～21時00分. 金曜日: 12時00分～21時00分. 土曜日: 11時00分～21時00分. 日曜日: 11時00分～21時00分,http://nyankoto.com/,13,15,recommend
猫カフェ きゃらふ,雷門から徒歩3分の場所にある猫カフェです。電源やWi-fiを完備していて、長時間のプランもあるようです。,2,4,東京都台東区雷門２丁目１９−１３ 浅草駅前ビル2F,139.7973026,35.7104071,03-6231-6050,月曜日: 定休日. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～18時00分,https://calaugh.com/,13,16,
猫カフェＭＯＮＴＡ,おしゃれな店内の猫カフェです。中でスイーツやパスタなどを食べることができます,2,4,東京都台東区花川戸１丁目５−２ サテライトフジビル 8Ｆ 浅草,139.7979922,35.7120841,03-5830-7428,月曜日: 11時00分～20時00分. 火曜日: 定休日. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～19時00分,http://nekocafe-monta.jp/,13,17,
猫カフェ MOCHA（モカ）秋葉原店,猫カフェMOCHAの秋葉原店です,2,4,東京都千代田区外神田４丁目４−３ 秋葉原SILビル 2階,139.7718157,35.7013098,03-5577-5399,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/akihabara/,13,18,
ハリネズミパラダイス 浅草店,ハリネズミカフェ「ハリネズミパラダイス」の浅草店です,6,6,東京都台東区浅草１丁目２３−７ ３階,139.7934736,35.7123219,03-5811-1752,月曜日: 11時00分～20時00分. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,http://hari-para.com/,13,19,
もふれる屋カラハリ,フェネックやミーアキャットなどとても珍しい動物とふれあうことができる動物カフェです。ほかにもカワウソや爬虫類もいます,"9,19,40","10,12",東京都台東区浅草３丁目１−１ 馬道妙見屋ビル２階,139.7985155,35.7160357,03-6802-3735,月曜日: 11時00分～20時00分. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,http://www.moff-kalahari.com/,13,20,
ふくろうカフェ OZ,浅草「花やしき」から徒歩2分の場所にあるフクロウカフェです。コモンマーモセットというサルやモモンガとふれあうこともできます,"3,6,10,40","7,10,12",東京都台東区浅草２丁目１６−５ レジデンシャルスター浅草 102,139.7939871,35.7160143,050-6861-2960,月曜日: 13時00分～19時00分. 火曜日: 13時00分～19時00分. 水曜日: 定休日. 木曜日: 13時00分～19時00分. 金曜日: 13時00分～19時00分. 土曜日: 13時00分～19時00分. 日曜日: 13時00分～19時00分,http://owlcafe.jp/,13,21,recommend
フクロウの巣カフェ,ナマケモノ、フェネック、キンカジューなどかなり珍しい動物とふれあうことができます,"2,3,6,27,40","7,10,12","東京都台東区上野４丁目５−１１ 3階 安富ビル ４丁目-5-11 上野 Building 3F, 台東区",139.7739103,35.70890600000001,03-5817-8133,月曜日: 14時00分～18時00分. 火曜日: 14時00分～18時00分. 水曜日: 14時00分～18時00分. 木曜日: 14時00分～18時00分. 金曜日: 14時00分～18時00分. 土曜日: 13時00分～19時00分. 日曜日: 13時00分～19時00分,https://www.fukurounosucafe.com/,13,22,recommend
浅草プードル,ハリネズミやウサギもいるドッグカフェです,"1,3,6","5,10",東京都台東区浅草１丁目３６−１１,139.7970439,35.7125666,03-5811-1039,月曜日: 13時00分～19時00分. 火曜日: 13時00分～19時00分. 水曜日: 13時00分～19時00分. 木曜日: 13時00分～19時00分. 金曜日: 13時00分～19時00分. 土曜日: 13時00分～19時00分. 日曜日: 13時00分～19時00分,https://asakusa-poodle.com/,13,23,recommend
鳥のいるカフェ 谷中本店,たくさんの種類の鳥とふれあえるバードカフェ「鳥のいるカフェ」の谷中本店です。ハリネズミもいるようです。,"6,10,27",8,東京都台東区谷中２丁目３−１６ STビル 1F,139.7653705,35.720652,03-6721-0220,月曜日: 13時00分～20時00分. 火曜日: 13時00分～20時00分. 水曜日: 定休日. 木曜日: 13時00分～20時00分. 金曜日: 13時00分～20時00分. 土曜日: 13時00分～20時00分. 日曜日: 13時00分～20時00分,http://toricafe.co.jp/roppongi,13,24,
保護猫カフェ浅草ねこ園,浅草駅から徒歩6分の場所にある保護猫カフェです。保護猫の里親を募集しています。,2,4,東京都台東区花川戸２丁目７−６ 池田ビル 3階,139.7986782,35.7152142,03-6231-7944,月曜日: 12時00分～20時00分. 火曜日: 定休日. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 12時00分～20時00分. 日曜日: 12時00分～20時00分,http://www.asakusanekoen.com/,13,25,
猫まるカフェ 上野店,食事をしながらくつろぐ事ができる猫カフェです。,2,4,東京都台東区上野７丁目２−２ 東叡堂ビル 8階,139.777323,35.712547,03-5826-2501,月曜日: 定休日. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～18時00分,http://nekomarucafe.com/,13,26,
ピッコロ ズー,ミーキャットやフクロモモンガなどかなり珍しい動物もいる動物カフェです。ほかにも九官鳥やフェレットなどたくさんの種類の動物とふれあえます,"2,4,6,7,18,19,40","9,10,12",東京都台東区西浅草1丁目1-16 升宏ビル3階,139.7913274,35.7102776,090-6023-1156,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 定休日. 土曜日: 12時00分～20時00分. 日曜日: 12時00分～20時00分,http://piccolozoo-pet.com/,13,27,
ことりカフェ上野本店,インコやオウムとふれあえる小鳥カフェです,27,8,東京都台東区上野桜木１丁目８−６,139.7697654,35.7200427,03-6427-5115,月曜日: 11時00分～17時00分. 火曜日: 11時00分～17時00分. 水曜日: 11時00分～17時00分. 木曜日: 11時00分～17時00分. 金曜日: 11時00分～17時00分. 土曜日: 11時00分～18時00分. 日曜日: 11時00分～18時00分,http://ueno.kotoricafe.jp/,13,28,recommend
フクロウカフェ 東京 アキバフクロウ,フクロウの販売なども行っている日本で最大級のフクロウカフェです,10,7,東京都千代田区神田練塀町６７,139.774838,35.7007993,03-6206-4095,月曜日: 12時00分～18時00分. 火曜日: 定休日. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～19時00分. 日曜日: 12時00分～19時00分,https://akiba2960.com/jp/,13,29,
mipig cafe 目黒店,東京でも珍しいマイクロブタとふれあうことができるマイクロブタカフェです,15,10,東京都目黒区目黒４丁目１１−３,139.7035725,35.631358,03-6712-2011,月曜日: 9時00分～20時00分. 火曜日: 9時00分～20時00分. 水曜日: 9時00分～20時00分. 木曜日: 9時00分～20時00分. 金曜日: 9時00分～20時00分. 土曜日: 9時00分～20時00分. 日曜日: 9時00分～20時00分,https://mipig.cafe/,13,30,
保護猫カフェMeooow!,品川にある保護猫カフェです,2,4,東京都品川区荏原１丁目１２−６,139.7152964,35.6200395,070-8322-5630,月曜日: 13時00分～20時00分. 火曜日: 13時00分～20時00分. 水曜日: 定休日. 木曜日: 13時00分～20時00分. 金曜日: 13時00分～20時00分. 土曜日: 13時00分～20時00分. 日曜日: 13時00分～20時00分,http://meooow-cat.com/,13,31,
ちくちくCAFE (Chiku Chiku Cafe),販売も行っているハリネズミカフェです,6,6,"大協渋谷ビル 2f, １丁目-13-5 渋谷 渋谷区 東京都 150-0002 日本",139.703746,35.6599526,03-6450-6673,月曜日: 13時00分～18時00分. 火曜日: 13時00分～18時00分. 水曜日: 13時00分～18時00分. 木曜日: 13時00分～18時00分. 金曜日: 13時00分～18時00分. 土曜日: 13時00分～18時00分. 日曜日: 13時00分～18時00分,https://hedgehoghome.cafe/,13,32,
pignic cafe,渋谷にあるマイクロブタカフェです,15,10,東京都渋谷区富ケ谷１丁目１７−３ 3A TERRACE BLD 2F,139.6923938,35.6664311,03-6407-0200,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://cafe.pignic.jp/,13,33,
cafe nine,動物カフェではなく愛犬を連れて行けるカフェです。店内にはカフェで飼われているたくさんのわんちゃんがいるようです。,1,5,東京都渋谷区代々木５丁目３８−６,139.6901258,35.6711655,03-6875-0353,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 11時00分～21時00分. 日曜日: 11時00分～21時00分,http://nine9cafe.co.jp/,13,34,
Cafe HOOTHOOT,フクロウが放し飼いになっていて、コーヒーやお酒を飲みながらくつろぐことのできるフクロウカフェです,10,7,東京都渋谷区神泉町１０−１６,139.6929113,35.6556593,03-6778-2364,月曜日: 13時00分～23時00分. 火曜日: 13時00分～23時00分. 水曜日: 13時00分～23時00分. 木曜日: 13時00分～23時00分. 金曜日: 13時00分～23時00分. 土曜日: 12時00分～23時00分. 日曜日: 12時00分～23時00分,https://www.cafehoothoot.com/,13,35,
Cafe & Snake - 東京スネークセンター,山手線原宿駅から徒歩5分の場所にあるヘビ専門のカフェです。ヘビを見ながらくつろげるカフェのようですがふれあうこともできるようです,18,9,東京都渋谷区神宮前６丁目５−６ サンポウ綜合ビル 8F,139.7052347,35.6678381,03-6427-9912,月曜日: 11時00分～20時00分. 火曜日: 定休日. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,http://snakecenter.jp/,13,36,
ちくちくCAFE (Chiku Chiku Cafe),ハリネズミの販売も行っているハリネズミカフェです,6,6,"大協渋谷ビル 2f, １丁目-13-5 渋谷 渋谷区 東京都 150-0002 日本",139.703746,35.6599526,03-6450-6673,月曜日: 13時00分～18時00分. 火曜日: 13時00分～18時00分. 水曜日: 13時00分～18時00分. 木曜日: 13時00分～18時00分. 金曜日: 13時00分～18時00分. 土曜日: 13時00分～18時00分. 日曜日: 13時00分～18時00分,https://hedgehoghome.cafe/,13,37,
原宿かわいい動物園,フェネックやミーアキャット、フェレットなど珍しい動物とふれあうことができます。,"4,6","10,12",東京都渋谷区神宮前３丁目２１−２２,139.7051399,35.6711199,,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～18時00分. 日曜日: 12時00分～18時00分,https://www.hisgo.com/j1/sp/Contents/OptionalTour/DetailOptionalTour.aspx?TourCd=TYO1370,13,38,
カワウソカフェ® HARRY 原宿テラス店,ハリネズミカフェ「HARRY」の原宿テラス店です。カワウソやチンチラなどの動物もいてふれあうことができます,"3,6,9","6,10",東京都渋谷区神宮前４丁目２６−５ ４２６ビル 3F,139.7080074,35.66919079999999,03-3404-1212,月曜日: 13時00分～18時00分. 火曜日: 13時00分～18時00分. 水曜日: 13時00分～18時00分. 木曜日: 13時00分～18時00分. 金曜日: 13時00分～18時00分. 土曜日: 11時00分～18時00分. 日曜日: 11時00分～18時00分,https://www.harinezumi-cafe.com/harajukuterrace/,13,39,recommend
ハリネズミカフェ®️ HARRY 原宿店 ハムスターカフェmogumogu,ハリネズミカフェ「HARRY」の原宿店です,6,6,東京都渋谷区神宮前１丁目１３−２１ シャンゼール原宿1号館 原宿２号館 4F,139.7034869,35.6695903,03-3404-1180,月曜日: 12時00分～19時00分. 火曜日: 12時00分～19時00分. 水曜日: 12時00分～19時00分. 木曜日: 12時00分～19時00分. 金曜日: 12時00分～19時00分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,http://harinezumi-cafe.com/,13,40,
猫カフェ MOCHA （モカ）渋谷センター街店,猫カフェ「MOCHA」の系列店です,2,4,東京都渋谷区宇田川町３２−１２ アソルティ渋谷 8F,139.6973796,35.6610485,03-6455-3503,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://catmocha.jp/shibuya/,13,41,
猫カフェ MOCHA（モカ） ラウンジ渋谷公園通り店,猫カフェ「MOCHA」の系列店です,2,4,東京都渋谷区神南１丁目１６−３ ブル・ヴァール 5F,139.6994954,35.66306590000001,03-6277-5745,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/shibuyakoendori/,13,42,
猫カフェ MOCHA （モカ）渋谷センター街店,猫カフェ「MOCHA」の系列店です,2,4,東京都渋谷区宇田川町３２−１２ アソルティ渋谷 8F,139.6973796,35.6610485,03-6455-3503,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://catmocha.jp/shibuya/,13,43,
猫カフェ MOCHA（モカ）原宿店,猫カフェ「MOCHA」の系列店です,2,4,東京都渋谷区神宮前１丁目１４−２５ クロスアベニュー原宿 クロスアベニュー原宿 4F,139.7029898,35.67002859999999,03-6447-2665,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/harajuku/,13,44,
ニャフェ・メランジェ,恵比寿にあるWi-fi完備の猫カフェです,2,4,東京都渋谷区恵比寿１丁目７−１３ 麻仁ビル恵比寿 3F,139.7105939,35.64828349999999,03-5449-4024,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 12時00分～20時00分. 日曜日: 12時00分～20時00分,http://www.nyafe-melange.com/,13,45,
保護猫カフェCatio,渋谷区にある保護猫カフェです。,2,4,東京都渋谷区富ケ谷１丁目８−５ 3F,139.6906577,35.6688181,03-3469-7886,月曜日: 定休日. 火曜日: 定休日. 水曜日: 14時00分～19時00分. 木曜日: 14時00分～19時00分. 金曜日: 14時00分～19時00分. 土曜日: 14時00分～19時00分. 日曜日: 14時00分～19時00分,https://linktr.ee/hogonekoCatio,13,46,
あうるぱーく フクロウカフェ池袋 Owlcafe,フクロウのほかにもイグアナやハリネズミとふれあうこともできます,"6,10,18,19","7,10",東京都豊島区西池袋３丁目３０−１１ 泰共フラットビル 2F,139.7067368,35.7309832,03-3984-1097,月曜日: 13時00分～18時00分. 火曜日: 13時00分～18時00分. 水曜日: 13時00分～18時00分. 木曜日: 13時00分～18時00分. 金曜日: 13時00分～18時00分. 土曜日: 11時00分～18時00分. 日曜日: 11時00分～18時00分,https://www.owlpark.tokyo/,13,47,
うさぎカフェうさびび,うさぎホテルなども行っているウサギカフェです。,3,10,東京都豊島区池袋２丁目４２−９ 中川ビル 5F,139.7098722,35.7336,03-6914-2557,月曜日: 13時00分～20時00分. 火曜日: 13時00分～20時00分. 水曜日: 定休日. 木曜日: 13時00分～20時00分. 金曜日: 13時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://usabibi.net/,13,48,
午前２時のハリネズミさん,モモンガやチンチラなど珍しい動物とふれあうこともできます。ペットホテルや販売も行っている動物カフェです。,"4,6","6,10,12",東京都豊島区池袋２丁目３５−４ ロイヤルウエスト ２Ｆ,139.706751,35.733272,070-6436-3314,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～18時00分. 日曜日: 12時00分～18時00分,http://shojisad0.wixsite.com/2amhh,13,49,
うさぎカフェmimi,カワウソとふれあうことができます。現在ウサギは限定での公開となっているようなのでホームページなどをご覧ください,9,10,東京都豊島区東池袋１丁目１３−９ 8F,139.7151411,35.7296685,070-5079-3841,月曜日: 定休日. 火曜日: 定休日. 水曜日: 13時30分～19時30分. 木曜日: 定休日. 金曜日: 定休日. 土曜日: 10時30分～19時30分. 日曜日: 10時30分～19時30分,http://www.usa-mimi.com/,13,50,
アニマルルーム いけもふ,珍しい動物がたくさんいてふれあうことができます。フェネック、キンカジュウ、プレーリードッグ、ミーアキャット、モモンガ、チンチラなどもいます,"3,4,6,7,10,18,20,40","10,12",東京都豊島区東池袋１丁目２９−４ 成田ビル 6F,139.7162416,35.7302463,,月曜日: 14時00分～18時00分. 火曜日: 14時00分～18時00分. 水曜日: 14時00分～18時00分. 木曜日: 14時00分～18時00分. 金曜日: 14時00分～18時00分. 土曜日: 11時30分～19時00分. 日曜日: 11時30分～19時00分,http://www.ikemofu.jp/,13,51,
コツメイト池袋店,カワウソとフクロモモンガとふれあうことができます。たくさんのメディアで取り上げられているお店です。,"9,40","10,12",東京都豊島区東池袋１丁目２９−４ 成田ビル 5階,139.7162408,35.73023249999999,03-6907-2668,月曜日: 11時00分～19時00分. 火曜日: 11時00分～19時00分. 水曜日: 11時00分～19時00分. 木曜日: 11時00分～19時00分. 金曜日: 11時00分～19時00分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,https://ktm-kawaii.com/,13,52,
保護猫カフェ ネコリパブリック池袋店,猫の殺処分０を目指す保護猫カフェです。保護猫活動も行っているようです。,2,4,東京都豊島区西池袋３丁目２７−３ 中根ビル 4F,139.7072107,35.7306274,03-6914-0834,月曜日: 11時00分～22時00分. 火曜日: 11時00分～22時00分. 水曜日: 11時00分～22時00分. 木曜日: 定休日. 金曜日: 11時00分～22時00分. 土曜日: 11時00分～22時00分. 日曜日: 11時00分～22時00分,http://www.neco-republic.jp/,13,53,recommend
猫カフェ MOCHA (モカ)池袋西口店,猫カフェ「MOCHA」の系列店です,2,4,東京都豊島区西池袋１丁目１５−６ 豊島会館３階,139.7094809,35.7305075,03-5927-8828,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/,13,54,
猫カフェモカラウンジ池袋東口店,ビルの中にある猫カフェです。,2,4,東京都豊島区東池袋１丁目２２−５ サンケエビル 4F,139.7155766,35.7295193,03-6914-2699,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/ikebukuro2/,13,55,
わんにゃんリゾートジョイフル 猫カフェ,ペットホテルなどが併設されている猫カフェです。同施設内に犬とふれあえるドッグカフェがあります,2,4,東京都板橋区大山東町３８−６ ＭＤＢビル ２F,139.7077114,35.74952969999999,03-5944-1205,月曜日: 11時00分～20時00分. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://wnr-joyful.com/cafe/,13,56,
わんにゃんリゾートジョイフル 犬カフェ,ペットホテルなどが併設されているドッグカフェです。同施設内に猫とふれあえる猫カフェがあります,1,5,東京都板橋区大山東町３８−６ 2F-C,139.7077073,35.7495667,03-5944-1205,月曜日: 11時00分～20時00分. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://wnr-joyful.com/dog-cafe/,13,57,
